CO_MAIN,CO_AUX,NO2_MAIN,NO2_AUX,GAS_TEMP,MICS_CO,MICS_NO2,MICS_HN3
232,1413,230,251,259,854,2970,1718
235,1433,231,252,264,856,2975,1718
235,1447,230,254,259,853,2981,1719
240,1467,233,252,259,851,2988,1719
238,1486,230,258,259,852,2994,1721
242,1500,235,259,259,849,3001,1719
240,1515,236,259,259,846,3007,1720
243,1536,235,257,259,844,3012,1718
238,1553,231,258,259,845,3018,1720
243,1570,236,259,259,844,3024,1719
245,1584,235,258,259,842,3028,1717
248,1606,235,261,259,844,3033,1717
247,1622,237,261,259,841,3038,1718
243,1638,230,261,259,840,3044,1719
245,1658,236,262,259,839,3048,1719
247,1676,239,264,259,836,3050,1717
250,1696,235,262,259,834,3057,1719
251,1712,239,265,259,834,3061,1718
254,1732,238,264,259,834,3063,1718
253,1751,235,266,259,833,3068,1719
253,1769,237,268,259,832,3073,1719
257,1788,237,267,259,830,3076,1719
254,1804,232,274,259,828,3079,1717
256,1821,239,272,259,828,3082,1719
259,1843,238,272,259,833,3086,1718
260,1863,239,273,259,825,3086,1718
260,1878,237,272,259,823,3095,1718
255,1897,230,273,259,823,3099,1720
262,1916,237,275,259,820,3102,1718
264,1937,235,273,259,820,3105,1718
267,1954,238,279,259,819,3107,1719
267,1974,235,277,259,819,3108,1719
263,1990,234,284,259,818,3111,1719
269,2011,234,280,259,816,3115,1718
265,2024,235,281,259,816,3115,1719
268,2047,234,279,259,815,3118,1719
268,2066,231,278,259,815,3119,1719
270,2082,233,282,259,813,3122,1720
272,2104,235,284,259,812,3125,1719
272,2120,234,284,260,813,3128,1718
272,2138,238,292,259,811,3128,1718
273,2160,229,285,259,812,3129,1720
276,2179,235,289,259,811,3132,1719
277,2198,236,290,259,811,3131,1719
276,2219,236,288,259,810,3136,1718
277,2239,236,288,259,809,3137,1719
274,2256,230,288,259,812,3137,1720
281,2277,234,292,259,811,3140,1719
281,2296,230,290,259,811,3142,1719
282,2316,234,293,259,810,3140,1719
282,2335,232,290,259,811,3144,1718
285,2356,235,295,259,809,3144,1719
285,2374,235,297,259,807,3145,1719
284,2393,233,293,259,804,3147,1718
287,2411,235,294,259,802,3150,1719
292,2435,231,300,259,799,3153,1717
289,2454,231,295,259,800,3155,1719
291,2472,230,297,259,802,3158,1719
293,2495,233,301,259,803,3157,1719
294,2513,235,305,259,805,3157,1718
290,2528,230,301,259,807,3154,1720
291,2548,230,307,259,805,3156,1720
299,2568,234,310,259,806,3158,1718
293,2585,230,310,259,805,3157,1718
294,2602,229,313,259,807,3158,1719
296,2621,233,311,259,807,3160,1718
297,2644,226,312,259,806,3158,1720
298,2658,226,313,259,804,3158,1720
304,2677,230,316,259,803,3162,1719
301,2695,228,316,259,799,3164,1720
300,2712,228,314,259,799,3163,1718
300,2729,228,318,264,797,3165,1717
303,2745,228,318,263,795,3167,1718
304,2767,230,322,259,795,3168,1717
307,2787,235,321,259,794,3169,1719
312,2811,232,326,264,795,3172,1718
312,2825,234,326,259,795,3173,1719
309,2843,235,326,259,796,3173,1719
313,2867,233,324,259,796,3175,1719
309,2883,230,323,259,797,3174,1720
313,2908,233,322,259,796,3176,1719
316,2925,233,326,259,798,3175,1718
314,2946,233,329,259,798,3176,1719
317,2967,231,326,259,797,3177,1719
317,2986,231,329,259,798,3175,1720
318,3007,233,334,259,799,3174,1719
320,3028,234,336,259,800,3177,1720
323,3048,234,335,259,799,3175,1718
320,3065,229,336,259,800,3173,1719
322,3086,233,336,259,803,3173,1718
325,3107,233,339,259,803,3173,1719
325,3124,231,344,259,803,3175,1719
326,3141,232,345,259,803,3173,1719
322,3161,229,339,259,804,3171,1720
330,3183,235,342,259,805,3170,1719
326,3198,232,342,259,805,3171,1719
330,3219,233,344,259,805,3168,1719
331,3239,232,347,259,805,3172,1718
327,3256,230,348,259,805,3169,1719
331,3275,234,351,259,806,3170,1719
333,3293,235,349,259,806,3169,1719
333,3300,232,350,259,804,3170,1719
336,3300,229,355,259,804,3171,1717
336,3300,233,351,259,805,3170,1718
340,3300,234,358,259,804,3171,1718
337,3300,233,357,259,804,3171,1718
338,3300,232,356,259,803,3171,1718
334,3300,227,355,259,805,3171,1720
338,3300,232,357,259,805,3172,1719
